TEXT_TWEET,SENTIMENT
Estoy mejorando mucho como arquitecto 🔥🍁,0
"@Soraya78971482 @Yudith11315438 @TeamBTSvotes @BTS_twt 😂😂😂 Al estar todos en verde es PERFECTO pero tengo más verdes que tu, así que estoy mejor jajaja

#MPN #ARMY #BTS #BoyWithLuv @BTS_twt",0
"@Soraya78971482 @Yudith11315438 @TeamBTSvotes @BTS_twt Jajaja estoy mejor que vos 😂😂

#MPN #ARMY #BTS #BoyWithLuv @BTS_twt",0
"Que ayer casi me matan, pilas con la confianza que dan a las personas que conocen y en poco tiempo ganan su confianza. 
Estoy bien.",0
@AnalyPattison Jajaja lo siento a esa hora ya estoy bien dormida. Disfrútenlo fans fieles al castigo. 😆,0
Increíble mi capacidad de cagar los días que estoy bien y tranquila.,0
"Si tú estás bien, yo estoy bien. Es neta.",0
"Después de que se vayan, no sé qué dejarán. Ignoro si algo quedará en pie. Pero en todo caso, quedaremos nosotros, los que tenemos la esperanza intacta, las ganas, la fe... Eso no podrán destruirlo.",0
"Feliz de haberlos tenido acá. Gracias por acompañarme siempre ❤️ en Belgrade, Serbia https://t.co/tvKxPY5IGA",0
«Estoy bien». El cortometraje que retrata la realidad que esconde el suicidio https://t.co/Pgn6UGp1Ee,0
Estoy bien ready pa’ repartir esto por mi TL hoy. https://t.co/zy9Ezfrpit,0
"A veces siento que estoy bien empinado, pero luego veo a mis amigos con 4tas y 5tas yéndose de peda, y se me pasa",0
"@Don_Arcilio No me jodas, yo que estoy bien contento... 🙄🙄🙄",0
@BiancaAbril12 No puedo creer lo hermosa que sos bebe. Gracias por acompañarme en todas las decisiones que tomo y apoyarme sin importar la distancia. Te amo siempre bombón ❣️,0
@BiancaAbril12 q bueno q no soy el único extraño,0
@BiancaAbril12 Siempre con vos mi amor. Gracias por acompañarme siempre y ahora más que nunca. Te amo mucho bombón ❣️,0
"@softjpxrk KAJSJJSA no, estoy bien me agarre de pedo, o sino pasaba para el otro mundo",0
@softjpxrk JAJAJAJSJJA aunque me sigue doliendo el culo estoy bien AJJSJAA,0
@ItsJ_hoseok Jungkook best boy gracias por existir,0
"@crabadise @BTS_twt Lo ameee literal, nunca me va a pasar esto djsjdj (tampoco lo de tener novio porque estoy bien fea) me encantoo",0
Estoy bien orgulloso de todos ustedes #BUAPSePara https://t.co/6FGXt3ha3C,0
"Como mierda hace una persona para manejarte el humor, porque si estoy bien con esa persona todo esta bien, pero si me peleo o estoy mal por algo, automáticamente estoy como el orto",0
"@melissamoraila gracias por estar, te amo ;*",0
"Odio ya estar por dormir, y aunque cené bastante, que me de hambre o más bien antojo de algo, porque ya me cepillé los dientes y me da flojera volverlo hacer... PD. Ya bajé por una rebanada de pastel con leche #SiempreGordoNuncaIngordo",0
"pues estoy bien triste y me desanimé, pues hoy me quedé un par de horas más en el trabajo con unos pendientes, y como mi bici se ponchó, me regresé a casa en uber y no me dio tiempo de ir al banco a retirar el dinero del gym...",0
"Tengo toda la mañana escuchando música de señor/señora, y salió la canción más señorial del mundo, ""Señora"" de Rocío Jurado, si, si estoy bien curado plebes, con mi eclecticismo musical.",0
"Birria palazuelos, gracias por existir. #BirrieriaPalazuelos #Culiacán no me pagaron por este tuit jaja.",0
"Ya estoy bien,ya me ordene en mi desorden... https://t.co/Ir01DyGWs9",0
"Muchas gracias por estar en estos momentos, una nueva oportunidad esta cerca, ya pronto llegaras a la familia.",0
"Ya estoy bien,ya me ordene en mi desorden... https://t.co/Ya1A431YHZ",0
@selAPela_ Al menos no soy el único que lo piensa,0
"si estoy bien, por los que vivo estaran igual...",0
@yaaelgaarcia Menos mal que no soy el único que odia así 😅😅,0
"Feliz cumpleaños mi angelito, gracias por todo el talento que nos regalas, por tu sonrisita y por todo el amor que le das a EXO y a EXO-L, gracias por todo el esfuerzo que haces♡, gracias por existir, te deseo lo mejor Y que siempre seas feliz♡. Te amamos Baek
#HAPPYBAEKHYUNDAY https://t.co/VyeenDMHwv",0
Estoy bien pinché loca por hacer 3 horas de gimnasio 🙂,0
"No trabajaré este año, y claro que siento feo porque no estoy ayudándole económicamente a mi familia, pero mis padres siempre me dicen que nada vale más que mi salud y que ellos mismos no me dejarán trabajar hasta que vean que ya estoy bien. 🥺",0
@MonsterEnergyCL Gracias por existir!!! https://t.co/OnCmEUW4xt,0
"A alguien más se le tapa la nariz por estrés?
Porfa díganme que no soy el único!!",0
"Como nunca dormí una siesta... acabo de despertar y esta todo mojado!! 🤦‍♂️ Hasta Muffin (el perro) esta mojado! 😂
Se supone que era el lunes!!
Nunca más duermo siesta 😣",0
"Discovery Turbo, gracias por existir!! @DiscoveryLA",0
"@andres_vr76 Es cierto! Una vez salí a caminar con lluvia y me moje entero, menos las zonas que cubría mi mochila! 🤣🤣🤣 La foto me parece clara, parece quemadura de sol!",0
"El guardián fantasma de ARAM en el LoL dice “Buena erección” en lugar de “Buena elección”, y encima añade “Ha visto mucha sangre en su época”. Yo lo veo como un claro juego de palabras. Lo he escuchado mil veces y siempre me suena igual. Decidme que no soy el único. https://t.co/i2XsAQsOrf",0
Ya estoy empezando a triunfar en mi servicio. 1 mes me ha costado (jajaja) pero ya progresé con los 2 Rs más complicados de ciru y neta estoy bien pinkie orgullosa de mí 😍😍😍,0
Estoy bien excited porque hoy iré a comprarme una pijama que combine con los sneakers que compré hace 2 findes para que al fin pueda estrenarlos🙊💃🏻🏥,0
El man no me creía que voy a mi casa. Pensó que me iría con algún otro 🍑. Jajajaja 🤦🏻‍♀️ Ya debería saber que sí estoy bien lelita y no me gusta salir con más de 1 even when el acuerdo sea not formal 😶🔫,0
@LiamPayne flaco gracias por existir,0
falta 1 minuto para que tenga que cambiar a -1 dios nO ESTOY BIEN,0
¿Puedo  pedirte un favor? No me pregunte si estoy bien o cómo me va la vida. No  te importa. Guarda tú falsedad y úsala con otra persona. Gracias.,0
"🔰[200819] || Actualización de Yixing en Weibo:

✨""Un tributo a todos los grandes trabajadores médicos, gracias por estar allí, feliz día del médico"".

@layzhang #张艺兴 #LayZhang #ZhangYixing 
@weareoneEXO 

Cr: XingPark. https://t.co/byeZXvqESN",0
@esteninf Usted es un ejemplo de la mujer Venezolana. gracias por existir!,0
"""Primera mujer en la Luna""
—Houston, tenemos un problema.
—¿Que?
—Olvídalo.
—¿Cual es el problema?
—Nada.
—Por favor, dinos.
—Estoy bien.",0
@juanpavlob Lo importante es que no estoy sola en este inservible Noviembre!,0
"Sin redes sociales y sin pensar en Copa América. Me dormí una siesta de otro planeta.
Hay que renovar energías",0
Mañana presento embriología y estoy bien nervioso,0
Olv estoy bien marrano,0
"Qué ganas tengo que caminar por la playa, sentir la arena, escuchar las olas, oler la sal, sentir la brisa en la cara, el sol en la piel.",0
